[INFO ] 2022-02-06 13:06:05.076 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:06:10.039 [Test worker] BasePage -  Enter search phone
[INFO ] 2022-02-06 13:06:10.090 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:06:10.595 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:06:13.102 [Test worker] BasePage -  add first item 
[INFO ] 2022-02-06 13:06:13.194 [Test worker] BasePage -  Open Curt page
[INFO ] 2022-02-06 13:06:14.274 [Test worker] BasePage -  get sum prise 
[INFO ] 2022-02-06 13:06:20.853 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:06:24.874 [Test worker] BasePage -  Enter search лижі
[INFO ] 2022-02-06 13:06:24.929 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:06:25.294 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:10:36.148 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:10:36.678 [Test worker] BasePage -  Enter search phone
[INFO ] 2022-02-06 13:10:45.001 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:10:45.455 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:11:36.073 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:11:36.303 [Test worker] BasePage -  Enter search лижі
[INFO ] 2022-02-06 13:11:45.328 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:11:46.683 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:11:48.465 [Test worker] BasePage -  add first item 
[INFO ] 2022-02-06 13:11:48.563 [Test worker] BasePage -  Open Curt page
[INFO ] 2022-02-06 13:11:49.011 [Test worker] BasePage -  get sum prise 
[INFO ] 2022-02-06 13:13:10.529 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:13:14.458 [Test worker] BasePage -  Enter search phone
[INFO ] 2022-02-06 13:13:17.240 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:13:17.787 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:19:39.557 [Test worker] BasePage - navigate to Urlhttps://rozetka.com.ua
[INFO ] 2022-02-06 13:19:39.806 [Test worker] BasePage -  Enter search phone
[INFO ] 2022-02-06 13:19:48.620 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:19:49.103 [Test worker] BasePage -  scroll to element 
[INFO ] 2022-02-06 13:20:10.546 [Test worker] BasePage -  add first item 
[INFO ] 2022-02-06 13:20:10.622 [Test worker] BasePage -  Open Curt page
[INFO ] 2022-02-06 13:20:44.261 [Test worker] BasePage -  get sum prise 
